,customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
67,68.0,25,259000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,20000.0,14.42,10,1.0,2,NO DEFAULT
68,69.0,24,255000.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,4,,2,NO DEFAULT
69,70.0,25,250000.0,RENT,2.0,MEDICAL,B,25000.0,13.49,10,,4,NO DEFAULT
72,73.0,21,12000.0,OWN,6.0,EDUCATION,B,3000.0,13.61,1,1.0,3,DEFAULT
73,74.0,23,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,10,,2,NO DEFAULT
74,75.0,26,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,10,,3,NO DEFAULT
75,76.0,26,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,6,0.0,3,DEFAULT
76,77.0,22,88000.0,RENT,6.0,VENTURE,A,28000.0,9.91,10,,3,NO DEFAULT
77,78.0,21,12000.0,OWN,0.0,PERSONAL,B,4200.0,13.48,1,1.0,4,DEFAULT
78,79.0,22,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,2,0.0,2,DEFAULT
79,80.0,24,83004.0,RENT,0.0,VENTURE,C,28000.0,15.99,10,1.0,4,DEFAULT
80,81.0,24,250000.0,RENT,2.0,EDUCATION,B,18000.0,12.98,10,1.0,3,NO DEFAULT
81,82.0,144,250000.0,RENT,4.0,VENTURE,B,4800.0,13.57,4,,3,NO DEFAULT
82,83.0,25,100000.0,RENT,5.0,DEBTCONSOLIDATION,A,28000.0,12.69,10,,3,NO DEFAULT
83,84.0,26,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,10,,2,NO DEFAULT
86,87.0,23,151200.0,RENT,7.0,DEBTCONSOLIDATION,A,28000.0,11.11,10,,2,NO DEFAULT
88,89.0,21,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,D,3250.0,15.68,1,1.0,3,DEFAULT
89,90.0,22,70000.0,RENT,4.0,EDUCATION,B,27500.0,13.06,10,1.0,3,DEFAULT
91,92.0,26,73200.0,RENT,5.0,VENTURE,C,27050.0,15.62,10,1.0,2,DEFAULT
92,93.0,24,83000.0,RENT,5.0,PERSONAL,B,27000.0,13.49,10,1.0,2,DEFAULT
94,95.0,23,62500.0,RENT,7.0,MEDICAL,A,26000.0,11.71,10,,2,NO DEFAULT
95,96.0,23,120000.0,RENT,1.0,EDUCATION,A,25600.0,12.69,10,,3,NO DEFAULT
96,97.0,24,12360.0,OWN,2.0,MEDICAL,B,1600.0,13.57,4,,3,NO DEFAULT
97,98.0,22,60000.0,RENT,0.0,VENTURE,A,25475.0,10.99,10,,3,NO DEFAULT
98,99.0,25,234000.0,MORTGAGE,3.0,MEDICAL,B,20000.0,14.27,10,1.0,4,NO DEFAULT
99,100.0,24,234000.0,OWN,8.0,HOMEIMPROVEMENT,A,20000.0,8.88,10,,4,NO DEFAULT
100,101.0,26,234000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,21600.0,12.18,10,,3,NO DEFAULT
101,102.0,25,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,11900.0,14.42,10,1.0,3,DEFAULT
102,103.0,26,232500.0,MORTGAGE,0.0,MEDICAL,B,25000.0,14.17,10,1.0,2,NO DEFAULT
103,104.0,25,230000.0,MORTGAGE,5.0,MEDICAL,B,35000.0,13.99,10,,4,NO DEFAULT
104,105.0,23,83000.0,RENT,7.0,EDUCATION,A,25300.0,10.99,10,,3,NO DEFAULT
106,107.0,25,12600.0,OWN,3.0,PERSONAL,B,1750.0,13.61,5,,3,NO DEFAULT
107,108.0,21,42500.0,RENT,3.0,EDUCATION,B,25000.0,12.73,10,1.0,3,DEFAULT
109,110.0,25,12816.0,OWN,0.0,DEBTCONSOLIDATION,B,3000.0,12.87,5,1.0,4,DEFAULT
110,111.0,24,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,A,3650.0,9.91,4,0.0,3,DEFAULT
111,112.0,26,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,A,20000.0,11.49,10,,4,NO DEFAULT
112,113.0,25,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,D,30000.0,19.91,10,1.0,2,NO DEFAULT
113,114.0,26,213000.0,MORTGAGE,6.0,EDUCATION,A,35000.0,10.65,10,0.0,2,DEFAULT
115,116.0,24,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4500.0,11.83,4,0.0,4,DEFAULT
116,117.0,23,12996.0,OWN,0.0,DEBTCONSOLIDATION,B,2400.0,13.49,3,1.0,2,DEFAULT
117,118.0,22,42000.0,RENT,6.0,MEDICAL,C,25000.0,14.59,10,1.0,2,DEFAULT
118,119.0,26,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,10,0.0,4,DEFAULT
119,120.0,25,12996.0,OWN,1.0,MEDICAL,C,3600.0,14.59,5,0.0,3,DEFAULT
121,122.0,25,42360.0,RENT,1.0,EDUCATION,D,25000.0,16.35,10,1.0,3,DEFAULT
122,123.0,21,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,10,0.0,2,DEFAULT
123,124.0,25,225000.0,MORTGAGE,0.0,VENTURE,E,25000.0,18.67,10,,2,NO DEFAULT
124,125.0,26,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,6,,4,NO DEFAULT
125,126.0,23,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,3,,2,NO DEFAULT
126,127.0,26,225000.0,MORTGAGE,2.0,VENTURE,A,25000.0,10.08,10,,2,NO DEFAULT
127,128.0,22,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,10,0.0,3,DEFAULT
128,129.0,23,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,10,,3,NO DEFAULT
129,130.0,25,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,10,0.0,2,DEFAULT
130,131.0,24,44000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,15.33,10,0.0,2,DEFAULT
131,132.0,23,50000.0,RENT,1.0,VENTURE,A,25000.0,11.83,10,1.0,4,NO DEFAULT
132,133.0,22,50004.0,RENT,0.0,VENTURE,A,25000.0,10.36,10,,2,NO DEFAULT
133,134.0,22,50004.0,RENT,3.0,VENTURE,B,25000.0,12.23,10,0.0,3,DEFAULT
134,135.0,22,52000.0,RENT,2.0,EDUCATION,A,25000.0,11.11,10,,4,NO DEFAULT
135,136.0,23,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,3,0.0,4,DEFAULT
136,137.0,24,220000.0,MORTGAGE,1.0,EDUCATION,A,25000.0,11.58,10,,2,NO DEFAULT
137,138.0,23,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,10,,3,NO DEFAULT
138,139.0,25,216000.0,MORTGAGE,2.0,EDUCATION,C,25000.0,16.07,10,,3,NO DEFAULT
139,140.0,26,216000.0,MORTGAGE,10.0,EDUCATION,B,20000.0,14.22,10,1.0,2,NO DEFAULT
140,141.0,23,215000.0,MORTGAGE,7.0,MEDICAL,B,35000.0,14.79,10,1.0,3,NO DEFAULT
141,142.0,26,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,10,,2,NO DEFAULT
142,143.0,23,52000.0,RENT,1.0,PERSONAL,B,25000.0,13.22,10,0.0,2,DEFAULT
143,144.0,26,46000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,11.86,10,0.0,4,DEFAULT
144,145.0,22,53000.0,RENT,5.0,EDUCATION,B,25000.0,13.43,10,1.0,4,DEFAULT
145,146.0,26,47000.0,RENT,0.0,HOMEIMPROVEMENT,C,25000.0,15.28,10,1.0,2,DEFAULT
146,147.0,23,47000.0,RENT,1.0,VENTURE,D,25000.0,17.93,10,0.0,2,DEFAULT
147,148.0,23,13200.0,MORTGAGE,2.0,EDUCATION,A,1400.0,9.25,3,,4,NO DEFAULT
148,149.0,21,13200.0,OWN,0.0,VENTURE,B,4500.0,12.98,1,0.0,4,DEFAULT
149,150.0,22,210000.0,MORTGAGE,6.0,VENTURE,A,16000.0,10.62,10,,4,NO DEFAULT
150,151.0,26,210000.0,OWN,10.0,PERSONAL,A,22000.0,11.83,10,,4,NO DEFAULT
151,152.0,26,48000.0,RENT,5.0,VENTURE,E,25000.0,18.43,10,0.0,2,DEFAULT
154,155.0,23,55000.0,RENT,4.0,EDUCATION,A,25000.0,11.36,10,,3,NO DEFAULT
155,156.0,23,55000.0,RENT,4.0,EDUCATION,C,25000.0,15.65,10,1.0,3,DEFAULT
156,157.0,24,55164.0,RENT,8.0,PERSONAL,B,25000.0,13.22,10,1.0,4,DEFAULT
157,158.0,26,56000.0,RENT,4.0,DEBTCONSOLIDATION,B,25000.0,12.87,10,0.0,2,DEFAULT
158,159.0,24,203500.0,OWN,8.0,MEDICAL,B,20000.0,13.04,10,,3,NO DEFAULT
159,160.0,23,190000.0,MORTGAGE,5.0,EDUCATION,E,22000.0,17.58,10,1.0,3,DEFAULT
160,161.0,23,13920.0,OWN,2.0,PERSONAL,D,7750.0,17.04,3,0.0,4,DEFAULT
161,162.0,24,60000.0,RENT,0.0,PERSONAL,A,25000.0,10.99,10,0.0,3,DEFAULT
162,163.0,24,60000.0,RENT,2.0,PERSONAL,A,25000.0,11.11,10,0.0,3,DEFAULT
163,164.0,26,54000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,14.83,10,1.0,2,DEFAULT
165,166.0,24,200000.0,RENT,8.0,MEDICAL,A,12000.0,12.69,10,,2,NO DEFAULT
166,167.0,24,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,12000.0,13.49,10,,2,NO DEFAULT
167,168.0,21,200000.0,MORTGAGE,5.0,EDUCATION,B,16000.0,14.65,10,,4,NO DEFAULT
168,169.0,25,54000.0,RENT,3.0,HOMEIMPROVEMENT,D,25000.0,16.82,10,0.0,4,DEFAULT
169,170.0,23,60000.0,RENT,3.0,PERSONAL,B,25000.0,12.73,10,0.0,3,DEFAULT
170,171.0,23,60000.0,RENT,7.0,PERSONAL,A,25000.0,10.25,10,0.0,4,DEFAULT
171,172.0,21,60000.0,RENT,6.0,EDUCATION,A,25000.0,10.99,10,0.0,4,DEFAULT
172,173.0,25,61959.0,RENT,9.0,MEDICAL,B,25000.0,12.73,10,0.0,2,DEFAULT
173,174.0,22,56400.0,RENT,2.0,HOMEIMPROVEMENT,C,25000.0,14.96,10,1.0,3,DEFAULT
175,176.0,21,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,25000.0,13.99,10,,2,NO DEFAULT
176,177.0,24,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,10,1.0,4,NO DEFAULT
177,178.0,26,200000.0,MORTGAGE,4.0,EDUCATION,B,15000.0,14.79,10,,3,NO DEFAULT
178,179.0,25,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,15500.0,11.99,10,,2,NO DEFAULT
179,180.0,24,200000.0,RENT,8.0,EDUCATION,A,10000.0,8.49,4,,4,NO DEFAULT
180,181.0,24,66000.0,RENT,3.0,EDUCATION,A,25000.0,9.91,10,0.0,2,DEFAULT
181,182.0,22,66000.0,RENT,6.0,EDUCATION,B,25000.0,13.06,10,1.0,3,DEFAULT
182,183.0,22,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,2,,4,NO DEFAULT
183,184.0,144,200000.0,MORTGAGE,4.0,EDUCATION,A,6000.0,11.86,4,,2,NO DEFAULT
184,185.0,25,200000.0,RENT,5.0,EDUCATION,C,18000.0,16.32,10,,3,NO DEFAULT
185,186.0,25,200000.0,MORTGAGE,2.0,VENTURE,A,12000.0,10.38,10,,2,NO DEFAULT
186,187.0,25,200000.0,MORTGAGE,9.0,PERSONAL,B,23050.0,14.35,10,,3,NO DEFAULT
190,191.0,26,66996.0,RENT,10.0,PERSONAL,C,25000.0,15.21,10,1.0,2,DEFAULT
191,192.0,23,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,10,0.0,4,DEFAULT
192,193.0,24,67000.0,RENT,2.0,VENTURE,A,25000.0,10.99,10,0.0,3,DEFAULT
193,194.0,24,68000.0,RENT,5.0,PERSONAL,C,25000.0,14.09,10,1.0,3,DEFAULT
194,195.0,25,69000.0,RENT,9.0,PERSONAL,C,25000.0,17.49,10,0.0,2,DEFAULT
195,196.0,25,200000.0,MORTGAGE,0.0,EDUCATION,A,12000.0,11.48,10,,3,NO DEFAULT
196,197.0,26,188000.0,MORTGAGE,10.0,VENTURE,D,20000.0,17.74,10,0.0,2,DEFAULT
197,198.0,26,200000.0,MORTGAGE,4.0,PERSONAL,B,3000.0,13.92,6,,3,NO DEFAULT
198,199.0,25,69996.0,RENT,9.0,EDUCATION,C,25000.0,15.21,10,0.0,3,DEFAULT
199,200.0,22,14400.0,OWN,2.0,MEDICAL,A,4000.0,10.99,2,1.0,3,DEFAULT
200,201.0,24,70000.0,RENT,3.0,EDUCATION,A,25000.0,11.86,10,0.0,4,DEFAULT
201,202.0,24,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,4,0.0,3,DEFAULT
202,203.0,24,56100.0,RENT,7.0,MEDICAL,C,25000.0,16.49,10,0.0,4,DEFAULT
203,204.0,25,66000.0,RENT,9.0,VENTURE,C,25000.0,15.33,10,1.0,2,DEFAULT
204,205.0,26,66000.0,RENT,3.0,HOMEIMPROVEMENT,A,25000.0,11.58,10,0.0,4,DEFAULT
205,206.0,25,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,5,0.0,2,DEFAULT
206,207.0,25,72612.0,RENT,9.0,MEDICAL,B,25000.0,13.11,10,0.0,2,DEFAULT
207,208.0,23,74000.0,RENT,3.0,MEDICAL,A,25000.0,10.36,10,0.0,3,DEFAULT
208,209.0,25,75000.0,RENT,9.0,DEBTCONSOLIDATION,A,25000.0,10.36,10,1.0,2,DEFAULT
210,211.0,21,192000.0,MORTGAGE,123.0,VENTURE,A,20000.0,6.54,10,,4,NO DEFAULT
211,212.0,25,191000.0,MORTGAGE,1.0,MEDICAL,A,10000.0,12.53,5,,4,NO DEFAULT
214,215.0,24,75000.0,RENT,4.0,EDUCATION,A,25000.0,10.25,10,0.0,4,DEFAULT
215,216.0,22,71000.0,RENT,1.0,EDUCATION,C,25000.0,15.95,10,1.0,4,DEFAULT
216,217.0,26,190000.0,MORTGAGE,3.0,VENTURE,A,20000.0,12.18,10,,4,NO DEFAULT
217,218.0,23,189996.0,OWN,0.0,PERSONAL,A,24000.0,11.83,10,,3,NO DEFAULT
219,220.0,23,78000.0,RENT,1.0,VENTURE,A,25000.0,10.62,10,0.0,3,DEFAULT
220,221.0,23,78504.0,RENT,7.0,VENTURE,A,25000.0,10.74,10,0.0,3,DEFAULT
221,222.0,25,186000.0,OWN,9.0,VENTURE,A,10000.0,10.25,5,,4,NO DEFAULT
223,224.0,25,185000.0,RENT,6.0,VENTURE,B,15000.0,15.27,10,,2,NO DEFAULT
224,225.0,24,62050.0,RENT,8.0,MEDICAL,C,25000.0,15.33,10,1.0,2,DEFAULT
225,226.0,23,79416.0,RENT,7.0,VENTURE,C,25000.0,15.21,10,1.0,2,DEFAULT
226,227.0,21,14400.0,OWN,4.0,VENTURE,B,6250.0,14.72,1,0.0,2,DEFAULT
227,228.0,24,79631.0,RENT,8.0,PERSONAL,C,25000.0,15.7,10,1.0,2,DEFAULT
228,229.0,24,79632.0,RENT,0.0,EDUCATION,B,25000.0,13.35,10,0.0,4,DEFAULT
230,231.0,24,80000.0,RENT,6.0,EDUCATION,A,25000.0,6.62,10,0.0,2,DEFAULT
231,232.0,26,80000.0,RENT,5.0,DEBTCONSOLIDATION,B,25000.0,13.61,10,0.0,4,DEFAULT
232,233.0,22,185000.0,RENT,4.0,MEDICAL,A,25000.0,11.36,10,,2,NO DEFAULT
233,234.0,26,185000.0,OWN,10.0,PERSONAL,A,5000.0,7.68,6,,2,NO DEFAULT
234,235.0,24,184992.0,RENT,7.0,HOMEIMPROVEMENT,C,22000.0,14.46,10,1.0,4,NO DEFAULT
235,236.0,23,184000.0,OWN,5.0,EDUCATION,A,2500.0,11.83,3,,2,NO DEFAULT
236,237.0,24,172000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,B,20000.0,13.47,10,1.0,4,DEFAULT
237,238.0,24,183000.0,MORTGAGE,2.0,MEDICAL,A,20000.0,11.49,10,,3,NO DEFAULT
239,240.0,25,182952.0,MORTGAGE,9.0,PERSONAL,A,15000.0,6.03,10,,3,NO DEFAULT
240,241.0,23,74004.0,RENT,7.0,DEBTCONSOLIDATION,D,25000.0,16.35,10,0.0,4,DEFAULT
242,243.0,25,81000.0,RENT,5.0,DEBTCONSOLIDATION,A,25000.0,7.29,10,1.0,3,DEFAULT
243,244.0,23,81600.0,RENT,1.0,MEDICAL,A,25000.0,11.36,10,0.0,3,DEFAULT
244,245.0,24,82000.0,RENT,8.0,VENTURE,A,25000.0,10.25,10,,2,NO DEFAULT
245,246.0,24,83000.0,RENT,5.0,EDUCATION,A,25000.0,11.12,10,,3,NO DEFAULT
246,247.0,24,83000.0,RENT,5.0,PERSONAL,C,25000.0,12.92,10,1.0,3,NO DEFAULT
247,248.0,24,180000.0,RENT,8.0,EDUCATION,D,18000.0,18.64,10,1.0,4,NO DEFAULT
248,249.0,23,180000.0,MORTGAGE,8.0,PERSONAL,A,28000.0,7.51,10,,3,NO DEFAULT
249,250.0,23,14400.0,OWN,2.0,HOMEIMPROVEMENT,D,4000.0,16.7,3,0.0,2,DEFAULT
250,251.0,22,14400.0,OWN,0.0,PERSONAL,A,2100.0,11.14,2,,4,NO DEFAULT
251,252.0,22,84500.0,RENT,6.0,PERSONAL,E,25000.0,18.3,10,,4,NO DEFAULT
252,253.0,24,85000.0,RENT,5.0,MEDICAL,A,25000.0,10.62,10,,4,NO DEFAULT
253,254.0,24,180000.0,MORTGAGE,7.0,VENTURE,A,14000.0,11.99,10,,2,NO DEFAULT
254,255.0,26,180000.0,MORTGAGE,2.0,VENTURE,A,12000.0,9.63,10,,4,NO DEFAULT
255,256.0,25,142800.0,MORTGAGE,9.0,MEDICAL,E,10000.0,18.25,5,0.0,4,DEFAULT
257,258.0,24,87000.0,RENT,8.0,HOMEIMPROVEMENT,C,25000.0,14.84,10,,3,NO DEFAULT
258,259.0,24,75000.0,RENT,0.0,VENTURE,D,25000.0,14.7,10,1.0,3,DEFAULT
259,260.0,23,76000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,16.02,10,0.0,4,DEFAULT
260,261.0,23,66215.0,RENT,1.0,MEDICAL,C,25000.0,15.37,10,1.0,2,DEFAULT
261,262.0,25,90000.0,RENT,9.0,MEDICAL,A,25000.0,10.99,10,,4,NO DEFAULT
262,263.0,21,15000.0,OWN,0.0,HOMEIMPROVEMENT,A,6200.0,7.9,1,0.0,2,DEFAULT
263,264.0,26,180000.0,OWN,2.0,PERSONAL,A,25000.0,10.99,10,,4,NO DEFAULT
264,265.0,24,180000.0,OWN,8.0,EDUCATION,A,21000.0,11.48,10,,3,NO DEFAULT
265,266.0,25,180000.0,OWN,9.0,MEDICAL,B,20000.0,14.26,10,1.0,4,NO DEFAULT
266,267.0,26,180000.0,OWN,0.0,HOMEIMPROVEMENT,A,10000.0,8.0,6,,4,NO DEFAULT
267,268.0,25,180000.0,MORTGAGE,3.0,VENTURE,A,9950.0,11.26,5,,2,NO DEFAULT
269,270.0,23,78000.0,RENT,2.0,VENTURE,C,25000.0,16.32,10,1.0,3,DEFAULT
270,271.0,25,66300.0,RENT,3.0,MEDICAL,D,25000.0,17.93,10,1.0,4,DEFAULT
271,272.0,23,90000.0,RENT,0.0,DEBTCONSOLIDATION,A,25000.0,11.36,10,1.0,3,NO DEFAULT
272,273.0,24,79000.0,RENT,9.0,DEBTCONSOLIDATION,C,25000.0,14.96,10,1.0,4,DEFAULT
273,274.0,24,91800.0,RENT,4.0,PERSONAL,B,25000.0,13.43,10,1.0,3,NO DEFAULT
274,275.0,25,92000.0,RENT,6.0,HOMEIMPROVEMENT,A,25000.0,12.69,10,,3,NO DEFAULT
275,276.0,24,92000.0,RENT,1.0,VENTURE,B,25000.0,12.73,10,1.0,4,NO DEFAULT
276,277.0,23,93600.0,RENT,3.0,VENTURE,C,25000.0,15.21,10,,4,NO DEFAULT
277,278.0,23,15000.0,MORTGAGE,1.0,MEDICAL,B,1750.0,12.68,3,1.0,3,NO DEFAULT
278,279.0,23,70550.0,RENT,3.0,MEDICAL,E,25000.0,19.04,10,1.0,4,DEFAULT
